id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
960242551328852127,Heart of South Boston Luxury Home w/Private Deck,342519983,Marquis Escapes,South Boston,42.33724620864045,-71.03525754973766,Entire home/apt,340.0,91,0,0.0,6,364
960243742276636916,(PG03) Fenway Studio Cute & Cozy,233908696,Together We,Fenway,42.34696,-71.10332,Entire home/apt,138.0,1,79,4.22,1,132
960441596149014714,"Back Bay Efficiency Unit, Pvt Bath, Kitchenette",31340713,Kama,Back Bay,42.35201260357918,-71.08230289540408,Entire home/apt,129.0,29,8,0.44,42,332
960685883806728060,Walk everywhere! 1 bed / 1 bath / Super location!,47584294,Jessy And Diego,Back Bay,42.34445218198396,-71.08105165816404,Entire home/apt,159.0,1,68,3.65,18,132
960815028969330311,Corner 2Ba 2Ba  apt in Boston Jamica pond.,163848078,Adam,Jamaica Plain,42.32852903493563,-71.11188997856051,Entire home/apt,469.0,29,0,0.0,73,269
960827063707223984,3BD House on Subway,52471469,Shannyn,Dorchester,42.27987,-71.05947,Entire home/apt,148.0,91,0,0.0,1,318
961842882149732560,"Cozy Queen Bd, 7mn to Aiport, 3 mn walk to Train",44837494,Nemrac,East Boston,42.3710378806628,-71.04006197628438,Private room,119.0,1,71,5.73,2,206
962459201032552160,Back-Bay* Boston* Downtown* w/Gym & Parking,463475392,Haroldo,Bay Village,42.35044641835193,-71.06818657368422,Entire home/apt,816.0,29,16,0.87,12,178
962828359895553516,"Blueground | Back Bay, w/d, nr boston common",107434423,Blueground,Back Bay,42.35308149999999,-71.0721938,Entire home/apt,252.0,32,0,0.0,385,316
963638294449412751,Chic Fenway 1b Perfect Location!,275849638,Sean,Fenway,42.34909022215199,-71.09523336919413,Entire home/apt,162.0,1,52,2.75,70,243
963712891329091474,(42L5) Celtics Bruins TD Garden Outside your door!,331225367,Paige,Downtown,42.3662,-71.06326,Entire home/apt,242.0,1,76,4.23,81,103
963739180827526692,West Roxbury 3rd floor with daybed,69267172,Lynda,West Roxbury,42.27763,-71.15947,Shared room,45.0,1,21,1.12,14,90
963783297835812701,(42L3) Celtics Bruins TD Garden Outside your door!,331225367,Paige,West End,42.364500316156295,-71.06486051926203,Entire home/apt,214.0,1,69,3.77,81,96
963792616319536906,"(MB6) Brand New! 3bed, 2 kings, Back Bay!",331225367,Paige,Back Bay,42.35326,-71.07948,Entire home/apt,461.0,1,48,2.62,81,106
964946317221888957,"Blueground | Back Bay, rooftop & gym, nr shops",107434423,Blueground,Back Bay,42.34603,-71.07867759999999,Entire home/apt,238.0,32,0,0.0,385,288
965769862121915466,Beautiful Two Bedroom Apartment,8898973,Adriana & Gianni,Roxbury,42.3240913,-71.0907016,Entire home/apt,115.0,91,1,0.11,4,137
965926752339355136,"Blueground | Back Bay, w/d, nr boston common",107434423,Blueground,Back Bay,42.35308149999999,-71.0721938,Entire home/apt,252.0,32,0,0.0,385,229
966033303798491162,My Sweet Apartment,456140484,Mihaela,Roslindale,42.27659184787903,-71.11711643636227,Entire home/apt,201.0,1,28,2.77,1,73
966208194607702591,Luxury Room in the Heart of South Boston #3,342519983,Marquis Escapes,South Boston,42.33661532636998,-71.03493836024303,Private room,59.0,91,3,0.2,6,162
966243471186297526,Exquisite Lux Room in the Heart of South Boston #4,342519983,Marquis Escapes,South Boston,42.33631,-71.03487,Private room,54.0,91,1,0.15,6,329
966924264198926530,"Newly renovated apartment, 2 bedroom, Free parking",160661353,Shira,Brighton,42.34372357126928,-71.15170223466356,Entire home/apt,179.0,2,56,3.44,2,133
967177743613744573,South End Penthouse w/Roofdeck,21635825,Mary Ella,South End,42.34309827458531,-71.07708044350147,Entire home/apt,499.0,3,3,0.27,1,164
967667558662177408,West Roxbury 1st flr private room with twin bed,69267172,Lynda,West Roxbury,42.2787557,-71.16044099999999,Private room,74.0,1,21,2.12,14,90
968756887106715089,"Walk to Fenway Park, Berklee & Newbury St, Ground",22348222,Maverick,Fenway,42.341083874649065,-71.09549691842322,Entire home/apt,98.0,1,67,3.9,87,136
968895944857297752,"Ideal Spot Near Fenway & Berklee College, Ground L",22348222,Maverick,Fenway,42.3417,-71.0935,Entire home/apt,90.0,1,46,2.67,87,140
968896521543854465,"Central Location by Fenway & Berklee College, Grou",22348222,Maverick,Fenway,42.33951673701451,-71.09350181962292,Entire home/apt,90.0,1,39,2.29,87,144
968897133097214213,"Stay Close to Fenway, Berklee & Newbury St, #4",22348222,Maverick,Fenway,42.341240221689695,-71.09401042139574,Entire home/apt,111.0,1,22,1.25,87,151
968897464379856942,Boston Getaway: Steps to Fenway & Top Sights #101,22348222,Maverick,Fenway,42.34013,-71.0956,Entire home/apt,121.0,1,25,1.41,87,150
968898839815162155,"Walk to Berklee College & Fenway Park, #202",22348222,Maverick,Fenway,42.34128993702194,-71.09383314631357,Entire home/apt,142.0,1,25,1.43,87,146
969601624649419772,Sunny Treetop Getaway | Near T,319011975,David,Dorchester,42.31549,-71.05621,Entire home/apt,192.0,30,12,0.71,4,310
970182278615303492,My city sunshine apt,468418352,Ofri,Brighton,42.33886227708896,-71.15213032985815,Entire home/apt,60.0,91,1,0.1,1,125
970252095443904336,"Fenway Park, Berklee & Newbury at Your Door, #205",22348222,Maverick,Fenway,42.34129106189011,-71.09350961031274,Entire home/apt,121.0,1,20,1.13,87,173
970252129528759181,"Perfect Location Near Fenway & Berklee College, #1",22348222,Maverick,Fenway,42.34121888379682,-71.09344243524382,Entire home/apt,122.0,1,20,1.21,87,177
970252331842180905,Boston Getaway: Steps to Fenway & Top Sights #103,22348222,Maverick,Fenway,42.33969,-71.09415,Entire home/apt,110.0,1,28,1.58,87,143
970253205610322340,Stay in Style: Fenway Park Around the Corner #201,22348222,Maverick,Fenway,42.34168617543995,-71.09518205208003,Entire home/apt,97.0,1,38,2.22,87,123
970253217998897434,"Stay in the Heart of Fenway & Berklee, #203",22348222,Maverick,Fenway,42.341502139596166,-71.09552725688755,Entire home/apt,112.0,1,33,1.86,87,154
970253349165956159,"Central to Fenway, Berklee & Newbury St, #204",22348222,Maverick,Fenway,42.34120183250004,-71.09574333809945,Entire home/apt,120.0,1,15,1.0,87,156
970253359117204846,"Perfect Base Near Fenway & Berklee College, #206",22348222,Maverick,Fenway,42.34675,-71.09135,Entire home/apt,146.0,1,40,2.32,87,170
970253404738966318,"Walk to Fenway, Berklee College & More, #207",22348222,Maverick,Fenway,42.34484487859594,-71.0906269950402,Entire home/apt,123.0,1,37,2.1,87,172
970253528209468566,"Stay Close to Fenway Park & Berklee College, #208",22348222,Maverick,Fenway,42.344704861725305,-71.09044872306895,Entire home/apt,149.0,1,44,2.5,87,179
970253656712625913,"In the Center of Fenway, Berklee & Newbury, #209",22348222,Maverick,Fenway,42.33963722877396,-71.09398343821611,Entire home/apt,146.0,1,48,2.72,87,179
970253834535686815,"Steps from Fenway Park, Berklee & Newbury, #301",22348222,Maverick,Fenway,42.34534,-71.09138,Entire home/apt,133.0,1,36,2.08,87,85
