id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
838765078792830910,Accessible Bed: Queen + Bath: Down the Hall,228911273,The Revolution Hotel,,South End,42.34707865245842,-71.07116013022076,Private room,,1,33,2024-01-02,0.52,15,0,0,Exempt: This listing is a hotel or motel
838766480218443526,Bed:King + Bath:Down The Hall,228911273,The Revolution Hotel,,South End,42.34621,-71.07197,Private room,,1,383,2023-08-27,5.94,15,0,0,Exempt: This listing is a hotel or motel
838767832826243346,Bed:King + Bath:In-Room,228911273,The Revolution Hotel,,South End,42.34635,-71.07183,Private room,,1,153,2023-05-21,2.41,15,0,0,Exempt: This listing is a hotel or motel
838770795516125230,Bed:Quad + Bath:Down The Hall,228911273,The Revolution Hotel,,South End,42.34539074754755,-71.06998819543543,Private room,,1,300,2024-01-14,4.65,15,0,0,Exempt: This listing is a hotel or motel
838771894893288060,Bed:Queen + Bath:In-Room,228911273,The Revolution Hotel,,South End,42.3450278305856,-71.07057079795524,Private room,,1,210,2023-01-15,3.29,15,0,0,Exempt: This listing is a hotel or motel
838773011153595044,Bed:Triple + Bath:Down The Hall,228911273,The Revolution Hotel,,South End,42.3468,-71.07205,Private room,,1,313,2024-01-16,4.88,15,0,0,Exempt: This listing is a hotel or motel
838775412112470886,Revolution Loft:Accessible Queen,228911273,The Revolution Hotel,,South End,42.34708,-71.07122,Private room,,1,1,2020-02-08,0.02,15,0,0,Exempt: This listing is a hotel or motel
838776642994805648,Revolution Loft: Junior Suite,228911273,The Revolution Hotel,,South End,42.34532,-71.07016,Private room,,1,6,2022-03-20,0.12,15,0,0,Exempt: This listing is a hotel or motel
838781939154266184,Revolution Loft: King,228911273,The Revolution Hotel,,South End,42.34692,-71.07184,Private room,,1,16,2022-06-29,0.25,15,0,0,Exempt: This listing is a hotel or motel
838784537837664266,Revolution Loft: One Bedroom Suite,228911273,The Revolution Hotel,,South End,42.346404293011716,-71.06976256891731,Private room,,1,6,2022-07-21,0.14,15,0,0,Exempt: This listing is a hotel or motel
838786293292910788,Revolution Loft: Queen,228911273,The Revolution Hotel,,South End,42.34483522266024,-71.07153939303058,Private room,,1,13,2022-04-12,0.21,15,0,0,Exempt: This listing is a hotel or motel
838791296379971638,Revolution Loft: Two Double Beds,228911273,The Revolution Hotel,,South End,42.34704,-71.07,Private room,,1,15,2022-08-11,0.23,15,0,0,Exempt: This listing is a hotel or motel
838792904210420562,Studio Suite,228911273,The Revolution Hotel,,South End,42.34527891734742,-71.06977162573598,Private room,,1,7,2022-12-04,0.13,15,0,0,Exempt: This listing is a hotel or motel
840519456002071221,"Nxt to ocean, 5 min dntwn by T",189235334,Albena,,East Boston,42.3651757086422,-71.03671754053205,Entire home/apt,213,1,145,2025-03-05,6.05,2,207,69,STR-555372
841300163917010243,Lake View Fabulous modern2Br 2Ba,163848078,Adam,,Jamaica Plain,42.328628785464545,-71.11217733224197,Entire home/apt,325,29,6,2023-05-09,0.25,73,354,0,Str-072579
841340391794964228,Residential home with free parking,504179464,Bill,,Mattapan,42.27585996935596,-71.07228684526291,Entire home/apt,446,4,22,2024-12-02,0.98,1,237,13,STR-549122
842083317799628452,Brownstone 5 mins from Downtown,227889113,Lee,,Roxbury,42.33302712736915,-71.08388925685023,Entire home/apt,450,1,22,2024-10-20,1.81,7,354,22,Str-460336
842083325390113866,Perfect Victorian home,227889113,Lee,,Mattapan,42.27382,-71.07947,Entire home/apt,650,1,0,,,7,265,0,STR-558753
844267526849669236,Wonderful Fenway 3br/2ba | Steps from Fenway Park!,275849638,Sean,,Fenway,42.34950701821771,-71.09329788049406,Entire home/apt,261,1,107,2025-03-04,4.51,70,200,58,STR-489711
845725526594307928,"Forever Boston-5 mil Fenway, FreePrkg",105054371,Elona,,Roslindale,42.289883,-71.1394402,Entire home/apt,185,2,70,2025-02-23,2.89,1,149,35,STR-523310
846239063484503738,Cozy Back Bay Studio | Close to Fenway!,275849638,Sean,,Fenway,42.35063833281663,-71.09297187157289,Entire home/apt,150,1,0,,,70,217,0,STR-476579
846449916697294381,JP Gem: Near Orange Line & Food,69866787,Eric,,Jamaica Plain,42.3164542232749,-71.10062603529886,Private room,95,3,56,2025-02-17,3.62,1,66,48,STR-538103
846872271807146973,"Blueground | Fenway, roof & gym, nr fenway park",107434423,Blueground,,Fenway,42.3472723,-71.10130939999999,Entire home/apt,260,32,0,,,385,226,0,
846872983266331248,"Blueground | Fenway, roof & gym, nr fenway park",107434423,Blueground,,Fenway,42.3441154,-71.0995393,Entire home/apt,,32,0,,,385,2,0,
846941854165910381,Almost there!  4bed 2bath Apartment in Downtown,275849638,Sean,,Downtown,42.35546,-71.06294,Entire home/apt,455,3,96,2025-03-12,4.27,70,230,60,STR-460528
847129553841190014,Luxury apartment in south end!,28929296,Seif,,South End,42.34263299743971,-71.06311311808622,Entire home/apt,490,29,4,2023-05-23,0.17,2,364,0,STR-180737
847189753655203664,Stylish Boston Renovation | Near T,279124542,Angela,,Jamaica Plain,42.2941174,-71.11704639999999,Entire home/apt,234,30,52,2025-02-22,2.26,2,323,28,STR-438785
847346704941478843,Charming Private Room Close to Red Line and Beach,2356643,StayNue,,South Boston,42.3313639347081,-71.05325524880553,Private room,,29,3,2024-07-20,0.14,33,326,1,STR-522998
847997915913073765,Best Place To Rest,505588339,Maudrey,,Mattapan,42.279007146693225,-71.09426341045074,Entire home/apt,392,2,22,2024-10-27,1.10,1,167,13,STR-522459
849234104694269714,Luxurious 1BR in FIDI Boston | Close to Everything,382451810,Sean,,Downtown,42.35884411390937,-71.05492076260008,Entire home/apt,198,1,121,2025-02-27,5.09,56,247,59,STR-489708
849316099483773204,Charming Theater District 1Br | Walk Anywhere!,275849638,Sean,,Bay Village,42.34974,-71.06737,Entire home/apt,318,29,39,2023-12-07,1.62,70,112,0,STR-481123
849335827776494057,Pet Friendly - Laundry in Bldg - FIDI,275849638,Sean,,Downtown,42.35918176984304,-71.05380096814993,Entire home/apt,217,1,79,2025-02-23,3.38,70,259,43,STR-424130
850765909224271702,Spacious Savin Hill Apt mins from Redline,21415420,Patrick,,Dorchester,42.314918197821875,-71.0556744600529,Entire home/apt,110,29,1,2024-05-12,0.10,1,93,1,
851604996722456234,Boston Gem,239719797,Monica,,Dorchester,42.311212515871865,-71.06428632993537,Entire home/apt,234,2,26,2024-08-25,1.24,1,256,20,STR-523794
851622176051437463,Duplex Apartment in South Boston - 3BR/2BTH/2Decks,506331310,Melisa,,South Boston,42.33647,-71.04719,Entire home/apt,,2,69,2024-05-31,3.10,1,0,13,STR-523907
851676461880529893,Boston Bunkers,428724673,Priyanka,,Roslindale,42.28978,-71.13582,Entire home/apt,149,1,37,2024-12-27,1.64,6,155,20,STR-461034
852056763960452031,Spacious & Stylish 4-BR w/ 4-BA Apt near DT,233918361,Indira,,Roxbury,42.31381,-71.08926,Entire home/apt,344,1,25,2025-03-09,2.57,1,318,25,STR-560204
853391813264548119,"Blueground | Fenway, roof & gym, nr fenway park",107434423,Blueground,,Fenway,42.3475057,-71.1010258,Entire home/apt,,32,0,,,385,8,0,
853479504749158828,Beacon Hill Writer's Lair,92903178,Ben,,Beacon Hill,42.35876437680328,-71.06911858788247,Entire home/apt,259,29,0,,,2,180,0,
855178163713767837,Private room in Boston Neighborhood (1st Fl),29500286,Noelani,,Mattapan,42.28312,-71.09187,Private room,85,1,53,2024-10-18,2.58,1,83,23,STR-524356
857175353247182494,Djady’s,268089102,Maria,,Dorchester,42.3140755,-71.05715889999999,Private room,45,29,3,2024-08-31,0.14,3,352,1,
857372517206581174,"Large room with AC next to T, 29 Dexter Street",26098645,Manuela,,South Boston,42.3305506,-71.0581754,Private room,,3,34,2024-09-28,1.46,6,0,12,STR-522764
858659396824816067,Upscale Boston 2 BR w/ Off Street Parking,507787766,Tim,,West Roxbury,42.29362,-71.13868,Entire home/apt,221,1,67,2025-03-11,2.84,1,0,36,STR-518362
